smiles,log10(EC),PID,filler,vol%,html,id,rid,expt,Egap_trimer,Eiv_trimer,Eav_trimer,alpha_trimer,mu_trimer,density_filler,Egap_filler,modulus_filler,shape_bit1_filler,shape_bit2_filler,temperature,log10(thickness),ac,crystal,dc,disk,film,four-probe,impedance,linear,sheet,two-probe,expt_1,expt_2,expt_3,expt_4,expt_5,expt_6,expt_7,expt_8,expt_9,expt_10,expt_11,expt_12,expt_13,expt_14,expt_15,expt_16,expt_19,expt_20,expt_21,expt_22,expt_24,expt_25,expt_26,expt_27,expt_29,expt_30,expt_31,expt_36,expt_39,expt_40,expt_41,expt_42,expt_44,expt_46,expt_47,expt_48,expt_50,expt_53,expt_54,expt_55,expt_56,expt_58,expt_59,expt_63,expt_65,expt_67,expt_68,expt_73,expt_75,expt_76,expt_78,expt_82,expt_83,expt_84,expt_86,expt_87,expt_88,expt_89,expt_90,expt_93,expt_95,expt_96,expt_97,expt_98,expt_100,expt_101,expt_106,expt_110,expt_111,expt_112,expt_113,expt_115,expt_116,expt_117,expt_118,expt_119,expt_120,expt_122,expt_123,expt_124,expt_126,expt_129,expt_130,expt_134
CCC,-16.0,P010001,GR,10.0,1,13078-2-1-1,13078,95,11.4397,11.4585,-4.5506,33.46,0.0556,1.94,0.0,122,0,1,25.0,-3.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-15.769551078621726,P010001,Ag,2.0,1,47281-2-1-1,47281,11,11.4397,11.4585,-4.5506,33.46,0.0556,10.36,0.0,88,1,1,23.0,-3.3010299956639813,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-10.958607314841776,P010001,Ag,2.0,2,47281-2-1-1,47281,11,11.4397,11.4585,-4.5506,33.46,0.0556,10.36,0.0,88,1,1,23.0,-3.3010299956639813,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-15.619788758288394,P010001,Ag,5.0,1,47281-4-1-1,47281,11,11.4397,11.4585,-4.5506,33.46,0.0556,10.36,0.0,88,1,1,23.0,-3.3010299956639813,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-10.18045606445813,P010001,Ag,5.0,2,47281-4-1-1,47281,11,11.4397,11.4585,-4.5506,33.46,0.0556,10.36,0.0,88,1,1,23.0,-3.3010299956639813,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-15.568636235841012,P010001,Ag,3.0,1,47281-3-1-1,47281,11,11.4397,11.4585,-4.5506,33.46,0.0556,10.36,0.0,88,1,1,23.0,-3.3010299956639813,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-10.69897000433602,P010001,Ag,3.0,2,47281-3-1-1,47281,11,11.4397,11.4585,-4.5506,33.46,0.0556,10.36,0.0,88,1,1,23.0,-3.3010299956639813,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-15.494850021680094,P010001,CB,9.58974358974359,1,46896-3-1-1,46896,11,11.4397,11.4585,-4.5506,33.46,0.0556,1.94,0.0,122,1,0,23.0,-3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-15.468521082957745,P010001,GR,3.895833333333333,1,30658-7-1-1,30658,82,11.4397,11.4585,-4.5506,33.46,0.0556,1.94,0.0,122,0,1,23.0,-2.6989700043360187,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-15.0,P010001,CB,5.753846153846154,1,30185-5-1-1,30185,3,11.4397,11.4585,-4.5506,33.46,0.0556,1.94,0.0,122,1,0,23.0,-3.096910013008056,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
